"Title","Author","Shelved","Avg. Rating","Ratings","Year"
"You Don't Know JS: Types & Grammar","Kyle Simpson","72","4.49","712","2014"
"Object-Oriented Analysis and Design with Applications","Grady Booch","72","3.92","589","1990"
"Programming Elixir: Functional |> Concurrent |> Pragmatic |> Fun","Dave Thomas","71","4.29","716","2013"
"Clojure for the Brave and True","Daniel Higginbotham","71","4.27","515","2015"
"Learn you some Erlang for great good!","Fred Hebert","71","4.47","338","2012"
"You Don't Know JS: Async & Performance","Kyle Simpson","70","4.32","643","2014"
"Learn to Program","Chris  Pine","70","4.14","543","2006"
"Masterminds of Programming: Conversations with the Creators of Major Programming Languages","Federico Biancuzzi","70","3.91","437","2009"
"Programming Rust: Fast, Safe Systems Development","Jim Blandy","69","4.63","427","2015"
"Smalltalk Best Practice Patterns","Kent Beck","69","4.18","280","1996"
"Deep Learning with Python","François Chollet","68","4.57","1114","2017"
"Accelerate: Building and Scaling High Performing Technology Organizations","Nicole Forsgren","68","4.08","5904","nan"
"Writing Solid Code","Steve Maguire","68","4.12","329","1993"
"RESTful Web Services","Leonard Richardson","68","3.86","745","2007"
"Python Essential Reference","David Beazley","68","4.23","477","1999"
"Let Over Lambda","Doug Hoyte","67","4.04","248","2008"
"Game Engine Architecture","Jason Gregory","66","4.38","525","2009"
"Java 8 in Action","Raoul-Gabriel Urma","66","4.35","642","2014"
"The Nature of Code","Daniel Shiffman","66","4.56","443","2012"
"How Linux Works: What Every Superuser Should Know","Brian  Ward","66","4.16","1054","2004"
"Hackers: Heroes of the Computer Revolution","Steven Levy","66","4.15","7839","1984"
"Natural Language Processing with Python","Steven    Bird","66","4.1","540","2009"
"Implementation Patterns","Kent Beck","66","3.61","508","2006"
"Test-Driven Web Development with Python","Harry Percival","65","4.22","415","2010"
"Python Machine Learning","Sebastian Raschka","65","4.25","685","2015"
"You Don't Know JS: ES6 & Beyond","Kyle Simpson","65","4.4","519","2014"
"Version Control with Git","Jon Loeliger","65","3.91","757","2009"
"Java Puzzlers: Traps, Pitfalls, and Corner Cases","Joshua Bloch","65","4.24","582","2005"
"The Complete Software Developer's Career Guide: How to Learn Programming Languages Quickly, Ace Your Programming Interview, and Land Your Software Developer Dream Job","John Z. Sonmez","64","4.06","1152","2017"
"Programming Clojure","Stuart Halloway","64","3.84","627","2009"
"Code Simplicity: The Fundamentals of Software","Max Kanat-Alexander","63","3.73","563","2012"
"C++: How to Program","Harvey M. Deitel","63","3.96","1279","2014"
"High Performance JavaScript","Nicholas C. Zakas","63","4.1","596","2010"
"Exceptional C++: 47 Engineering Puzzles, Programming Problems, and Solutions","Herb Sutter","63","4.2","377","1999"
"Linux Kernel Development","Robert   Love","63","4.33","823","2003"
"C++ Standard Library: A Tutorial and Reference","Nicolai M. Josuttis","62","4.2","622","1999"
"Deep Learning","Ian Goodfellow","62","4.43","1683","2016"
"Understanding Computation: From Simple Machines to Impossible Programs","Tom Stuart","62","4.24","275","2013"
"SQL Antipatterns","Bill Karwin","62","3.99","459","2010"
"Programming: Principles and Practice Using C++","Bjarne Stroustrup","62","4.2","452","nan"
"The Annotated Turing: A Guided Tour Through Alan Turing's Historic Paper on Computability and the Turing Machine","Charles Petzold","62","4.26","1031","2008"
"Operating System Concepts","Abraham Silberschatz","61","3.9","2106","1985"
"Java: How to Program","Harvey M. Deitel","61","3.89","1050","1996"
"The RSpec Book","David Chelimsky","61","3.87","772","2009"
"Metaprogramming Ruby","Paolo Perrotta","60","4.3","781","2010"
"The Principles of Object-Oriented JavaScript","Nicholas C. Zakas","59","4.36","587","2012"
"Elements of Programming","Alexander Stepanov","59","3.99","181","2009"
"Dive Into Python","Mark Pilgrim","59","3.97","640","2004"
"Head First Python","Paul  Barry","58","3.88","520","2010"
"The Seasoned Schemer","Daniel P. Friedman","58","4.3","254","1995"
"Unix Network Programming, Volume 1: Networking APIs - Sockets and XTI","W. Richard Stevens","58","4.3","611","1990"
"Dive Into Design Patterns","Alexander Shvets","57","4.72","524","2018"
"The Protocols","W. Richard Stevens","57","4.31","1270","1993"
"ANSI Common Lisp","Paul    Graham","57","4.11","462","1996"
"Why's","Why The Lucky Stiff","57","4.06","465","2005"
"Microservice Patterns","Chris Richardson","56","4.23","530","nan"
"Algorithms Plus Data Structures Equals Programs","Niklaus Wirth","56","4.22","195","1975"
"The Unicorn Project","Gene Kim","55","4.11","7225","2019"
"Java in a Nutshell","David Flanagan","55","3.82","1003","1996"
"Professional JavaScript for Web Developers","Nicholas C. Zakas","55","4.19","608","2005"
"Haskell Programming From First Principles","Christopher    Allen","55","4.3","257","2015"
"Python Programming: An Introduction to Computer Science","John Zelle","55","4.03","456","2003"
"Flask Web Development: Developing Web Applications with Python","Miguel Grinberg","55","4.21","465","2014"
"The Architecture of Open Source Applications","Amy  Brown","55","3.69","310","2011"
"Pearls of Functional Algorithm Design","Richard S. Bird","55","4.24","143","2010"
"Python Data Science Handbook: Tools and Techniques for Developers","Jake Vanderplas","54","4.31","554","2016"
"Computer Science Distilled: Learn the Art of Solving Computational Problems","Wladston Ferreira Filho","54","4.09","995","2017"
"Android Programming: The Big Nerd Ranch Guide","Brian Hardy","54","4.29","635","2012"
"Confident Ruby","Avdi Grimm","54","4.4","367","2012"
"The Art of R Programming: A Tour of Statistical Software Design","Norman Matloff","54","4.02","571","2011"
"Masters of Doom: How Two Guys Created an Empire and Transformed Pop Culture","David Kushner","54","4.29","16660","2003"
"97 Things Every Software Architect Should Know: Collective Wisdom from the Experts","Richard Monson-Haefel","54","3.62","729","2009"
"User Stories Applied: For Agile Software Development","Mike Cohn","54","3.89","2794","2004"
"The Best Software Writing I: Selected and Introduced by Joel Spolsky","Joel Spolsky","54","3.86","663","2005"
"Programming PHP","Rasmus Lerdorf","53","3.98","788","2000"
"The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change","Camille Fournier","53","4.26","7625","2017"
"Kotlin in Action","Dmitry Jemerov","53","4.41","518","nan"
"Mastering Bitcoin: Unlocking Digital Cryptocurrencies","Andreas M. Antonopoulos","53","4.31","2487","2014"
"Algorithms Unlocked","Thomas H. Cormen","53","4.18","412","2013"
"Learning Javascript Design Patterns","Addy Osmani","53","3.85","483","2011"
"C++ Concurrency in Action: Practical Multithreading","Anthony  Williams","53","4.28","298","2009"
"jQuery in Action","Bear Bibeault","53","3.94","749","2008"
"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data","Hadley Wickham","52","4.57","1013","2016"
"Software Architecture in Practice","Len Bass","52","3.86","655","nan"
"Objective-C Programming: The Big Nerd Ranch Guide","Aaron Hillegass","52","4.16","662","2011"
"The Reasoned Schemer","Daniel P. Friedman","52","4.25","213","2005"
"PHP Objects, Patterns, and Practice","Matt Zandstra","52","4.16","451","2007"
"Crafting Interpreters","Robert Nystrom","51","4.71","189","2021"
"Category Theory for Programmers","Bartosz Milewski","51","4.23","145","2014"
"Data Science from Scratch: First Principles with Python","Joel Grus","51","3.91","982","2015"
"REST in Practice: Hypermedia and Systems Architecture","Jim Webber","51","3.83","479","2010"
"Programming in Haskell","Graham  Hutton","51","4.09","449","2006"
"Programming Language Pragmatics","Michael L. Scott","51","3.98","341","1997"
"Domain-Driven Design Distilled","Vaughn Vernon","50","3.82","1067","nan"
"Professor Frisby's Mostly Adequate Guide to Functional Programming","Brian Lonsdorf","50","4.34","333","nan"
"Introduction to Computation and Programming Using Python","John V. Guttag","50","4.25","454","2013"
"The Agile Samurai: How Agile Masters Deliver Great Software","Jonathan Rasmusson","50","3.95","1585","2010"
"Learning PHP, MySQL, and JavaScript: A Step-By-Step Guide to Creating Dynamic Websites","Robin Nixon","50","3.87","875","2009"
"Agile Estimating and Planning","Mike Cohn","49","4.14","2520","2005"
"Algorithms","Sanjoy Dasgupta","49","4.24","433","2006"
"A Common-Sense Guide to Data Structures and Algorithms: Level Up Your Core Programming Skills","Jay Wengrow","49","4.36","391","nan"
"Head First JavaScript Programming","Eric Freeman","49","4.26","463","2014"
"Patterns Principles and Practices of Domain Driven Design","Scott Millett","49","4.36","348","2014"
"Ruby Under a Microscope","Pat Shaughnessy","49","4.45","231","2012"
"Functional JavaScript: Introducing Functional Programming with Underscore.js","Michael Fogus","49","4.08","426","2013"
"An Introduction to Functional Programming Through Lambda Calculus","Greg Michaelson","49","4.15","215","1989"
"Object-Oriented Software Construction","Bertrand Meyer","49","4.04","264","1988"
"The Object-Oriented Thought Process","Matt Weisfeld","48","3.73","462","2000"
"Building Evolutionary Architectures: Support Constant Change","Neal Ford","48","3.75","856","nan"
"Clojure Programming","Chas Emerick","48","4.15","459","2011"
"Python Pocket Reference","Mark Lutz","48","4.01","691","1998"
"The Web Application Hacker's Handbook: Discovering and Exploiting Security Flaws","Dafydd Stuttard","47","4.22","1132","2007"
"Clean Agile: Back to Basics","Robert C. Martin","47","4.28","1071","nan"
"Domain Modeling Made Functional: Tackle Software Complexity with Domain-Driven Design and F#","Scott Wlaschin","47","4.53","517","nan"
"Applying UML and Patterns: An Introduction to Object-Oriented Analysis and Design and Iterative Development","Craig Larman","47","3.84","1016","2000"
"An Introduction to Statistical Learning: With Applications in R","Gareth James","47","4.59","2000","2013"
"Algorithms in a Nutshell","George T. Heineman","47","3.86","372","2008"
"Unit Testing: Principles, Practices, and Patterns","Vladimir Khorikov","46","4.6","342","nan"
"PHP and MySQL Web Development","Luke Welling","46","3.96","952","2003"
"Scala for the Impatient","Cay S. Horstmann","46","4.1","628","2012"
"The Art of Computer Programming, Volumes 1-4a Boxed Set","Donald Ervin Knuth","46","4.74","223","2011"
"The Soul of a New Machine","Tracy Kidder","46","4.12","8090","1981"
"The Programmer's Brain","Felienne Hermans","45","4.02","236","nan"
"Effective Python: 90 Specific Ways to Write Better Python","Brett Slatkin","45","4.43","223","nan"
"Computer Networking: A Top-Down Approach","James F. Kurose","45","4.07","2010","2000"
"Head First Servlets and JSP: Passing the Sun Certified Web Component Developer Exam","Bryan Basham","45","4.16","761","2004"
"sed & awk","Dale Dougherty","45","3.86","617","1990"
"Head First HTML with CSS & XHTML","Elisabeth Robson","44","4.16","1365","2005"
"Python for Everybody: Exploring Data in Python 3","Charles Severance","44","4.31","722","nan"
"Introducing Python: Modern Computing in Simple Packages","Bill Lubanovic","44","4.13","283","2013"
"NoSQL Distilled: A Brief Guide to the Emerging World of Polyglot Persistence","Pramod J. Sadalage","44","4.12","1046","2012"
"C Programming: A Modern Approach","Kimberly Nelson King","44","4.36","365","1996"
"Learning the bash Shell","Cameron Newham","44","3.88","593","1995"
"C++ Primer Plus","Stephen Prata","44","4.07","545","nan"
"Perl Cookbook","Tom Christiansen","44","4.04","849","1998"
"The Art of Agile Development","James Shore","44","3.97","857","2007"
"More Programming Pearls: Confessions of a Coder","Jon L. Bentley","44","4.06","136","1988"
"Learning SQL","Alan Beaulieu","44","3.94","605","2005"
"Core Java, Volume 1: Fundamentals","Cay S. Horstmann","43","4.19","451","2007"
"Eloquent Ruby","Russ Olsen","43","4.35","1265","2011"
"Adaptive Code Via C#: Agile Coding with Design Patterns and Solid Principles","Gary McLean Hall","43","4.37","362","2014"
"LISP in Small Pieces","Christian Queinnec","43","4.32","108","1996"
"Software Requirements 3","Karl Wiegers","43","4.12","776","1999"
"Thinking in C++, Volume One: Introduction to Standard C++","Bruce Eckel","43","4.11","390","2000"
"Writing Secure Code","Michael  Howard","43","4.01","374","2001"
"Programming in Lua","Roberto Ierusalimschy","43","3.96","389","2001"
"Programming in Objective-C","Stephen G. Kochan","42","3.94","505","1999"
"Monolith to Microservices: Sustaining Productivity While Detangling the System","Sam Newman","42","4.3","705","nan"
"Scrum: The Art of Doing Twice the Work in Half the Time","Jeff Sutherland","42","4.16","19844","2014"
"How to Solve It: A New Aspect of Mathematical Method","George Pólya","42","4.15","4502","1944"
"jQuery: Novice to Ninja","Earle Castledine","42","3.92","554","2010"
"Java Persistence with Hibernate: Revised Edition of Hibernate in Action","Christian Bauer","42","3.88","400","2006"
"The Inmates Are Running the Asylum: Why High Tech Products Drive Us Crazy and How to Restore the Sanity","Alan Cooper","42","3.94","2746","1999"
"The Art of the Metaobject Protocol","Gregor Kiczales","42","4.22","138","1991"
"Staff Engineer: Leadership Beyond the Management Track","Will Larson","41","4.08","1510","nan"
"Engineering a Compiler","Keith D. Cooper","41","4.04","175","2003"
"Java Performance: The Definitive Guide","Scott Oaks","41","4.38","276","2014"
"Database Internals: A deep-dive into how distributed data systems work","Alex Petrov","41","4.27","297","nan"
"Regular Expressions Cookbook","Jan Goyvaerts","41","4.11","188","2009"
"Refactoring: Ruby Edition, Adobe Reader","Jay Fields","41","4.08","253","2009"
"Java:  The Complete Reference","Herbert Schildt","41","4.28","517","2004"
"Implementing Lean Software Development: From Concept to Cash","Mary Poppendieck","41","4.19","835","2006"
"The Design of Design: Essays from a Computer Scientist","Frederick P. Brooks Jr.","41","3.76","586","2010"
"More Joel on Software: Further Thoughts on Diverse and Occasionally Related Matters That Will Prove of Interest to Software Developers, Designers, and Managers, and to Those Who, Whether by Good Fortune or Ill Luck, Work with Them in Some Capacity","Joel Spolsky","41","4.05","537","2008"
"Python in a Nutshell","Alex Martelli","41","3.89","369","2003"
"The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography","Simon Singh","41","4.29","25586","1999"
"Elements of Programming Interviews: The Insiders' Guide C++","Adnan Aziz","40","4.28","487","2012"
"Programming Phoenix: Productive |> Reliable |> Fast","Chris McCord","40","4.23","384","2016"
"Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code","Zed A. Shaw","40","3.93","518","nan"
